train_id,station
1544,Brugge
1539,Blankenberge
1516,Genk
1512,Genk
1514,Genk
1515,Genk
1529,Blankenberge
1517,Genk
1518,Genk
1513,Genk
1508,Genk
1531,Blankenberge
1520,Genk
1519,Genk
1505,Genk
1521,Brugge
1540,Blankenberge
1506,Genk
1541,Blankenberge
1530,Blankenberge
1533,Blankenberge
1534,Blankenberge
1511,Genk
1510,Genk
1507,Genk
1509,Genk
