station,arrival_delay,departure_delay,min_arrival_delay,min_departure_delay,max_arrival_delay,max_departure_delay
Heist,0.91240839151123615,2.031448237694995,-2,0,70,72
Heist-op-den-Berg,2.191071904198762,2.517486051889094,-28,-28,101,102
Heizijde,2.4933038880649945,3.0234847996562466,-2,-2,141,143
Hemiksem,1.4375727615134395,2.7128969015044964,-9,-9,124,124
Hennuyères,2.2527190248246688,2.5667210057673546,-4,-4,142,142
Hennuyères-Garage,2.3302662165838217,2.3311499987635087,-4,-4,142,142
Herent,2.9114837609305767,2.9359287031863054,-10,-10,195,164
Herentals,2.752212577210628,3.2504341339439833,-5,0,122,123
Hermalle-sous-Huy,2.7136793019471655,2.7134902693139375,-2,-2,149,149
Herne,2.2743543723202712,2.9601843603068547,-1,0,90,91
Herseaux,1.8692111363737684,2.8622877777777778,-12,-5,65,66
Herstal,1.8733209869284888,1.8896805669279058,-21,-21,185,189
Herzele,2.0338330700791547,2.2185061837377061,-3,-3,131,131
Heusden,2.2987829935198356,3.0606556331515673,-3,-3,64,65
Hever,1.9547996794871795,2.2295849328214971,-7,-7,101,101
Heverlee,1.1372508977042596,1.8340401253491382,-10,-10,74,74
Hillegem,1.8388939345371657,2.2888722301053966,-3,-3,130,130
Hoboken-Polder,0.57300349441745504167,1.5943744914129085,-10,-10,123,123
Hoei,2.5109213301967021,2.9290803994268902,-2,-1,149,151
Hoeilaart,3.0036841224104964,3.1911742424242424,-4,-4,107,108
Hofstade,1.9361551906536038,2.7233301352339181,0,0,85,85
Holleken,2.7139338873162268,2.8967981254944921,-2,-3,82,82
Hony,3.1860940798070158,3.8717537014805922,-5,-5,68,69
Houraing,3.2967310653786924,5.1006324342435919,-1,0,52,54
Hourpes,1.5368496283590623,2.5939298945568538,-1,-1,70,70
Houyet,2.0966759932848349,2.5593654519710858,-1,-1,90,90
Hove,2.5402608983134505,2.706153420478695,-15,-15,130,194
Huizingen,1.1511576644792193,1.9716169801253835,-4,-6,72,72
Iddergem,2.30394636352955,3.1008877208351584,-1,0,63,65
Idegem,2.8767362329007366,4.0402868984035257,0,0,87,87
Ieper,2.680828038413555,2.9165741864632102,-1,-2,76,71
Ingelmunster,1.9023567916314322,2.3189273361816674,-2,-2,129,130
Izegem,1.9633056460112952,2.4328996340418905,-5,-1,126,128
Izegem-Sas,2.0573763104217068,2.0574177735610373,-2,-2,127,127
Jambes,1.8355728733197145,1.3601193810608607,-1,-8,90,90
Jambes-Oost,1.0936080511355909,2.1933981266995669,-1,0,99,95
Jamioulx,1.9414389799635701,2.1448635536688902,-1,-1,78,78
Java,2.6695835004232946,2.6719305574121107,-2,-2,150,150
Jemappes,3.0834310659369299,3.2202749308605824,-2,-2,182,182
Jemeppe-Froidmont,6.81875,6.81875,-1,-1,26,26
Jemeppe-sur-Meuse,2.6530290672647772,3.0000542888165038,-7,-7,150,150
Jemeppe-sur-Sambre,1.9039966595084705,2.0659650327246098,-2,-2,87,88
Jemeppe-sur-Sambre-Marchandise,1.8681180588089398,1.8687969061463701,-7,-7,88,88
Jette,2.6899145349253809,2.8936098720221283,-12,-3,152,152
Jurbeke,2.8624604538072305,3.34160000374248,-2,-2,134,135
Juslenville,0.93582461385151968167,1.9889301634472511,0,0,25,25
Kalmthout,1.9813045209396605,2.6152505802146794,-4,-7,96,96
Kapellen,2.1800657039457503,3.4001314544116101,-7,-7,91,96
Kapellen-Wijkspoor,2.1518818068202107,1.904312005135887,-6,-6,95,95
Kapelle-op-den-Bos,1.7751885665668614,2.2472535096310806,-5,-5,98,98
Kessel,2.6243028743028743,2.8189253154146324,-8,-8,120,120
Kiewit,3.9166158837635774,3.8222527937690484,-1,-1,103,103
Kijkuit,2.0690820730424691,2.1641732854604142,-4,-4,95,95
Kinkempois-Formation,10.3050561797752809,10.3194496560350219,-3,-3,109,109
Kinkempois-Réception,-0.06666666666666666667,-0.06666666666666666667,0,0,0,0
Kinkempois-Relais,1.2698077210036026,1.2698077210036026,-2,-2,74,74
Knokke,2.2134275866919885,1.7017213114754098,0,0,73,39
Koksijde,1.6779978586723769,2.8134921336397384,-1,0,73,75
Komen,2.8744071260001151,3.406591943657133,-1,-1,71,82
Kontich-Lint,2.4503410053722894,2.5070154730141879,-15,-15,133,132
