route,train,departure
L B7,3482,2023-01-02 10:35:00.000000 +00:00
L A3,2982,2023-01-02 10:35:00.000000 +00:00
L A2,2361,2023-01-02 10:36:00.000000 +00:00
L B4,2183,2023-01-02 10:37:00.000000 +00:00
IC 19-1,933,2023-01-02 10:38:00.000000 +00:00
IC 26,3211,2023-01-02 10:38:00.000000 +00:00
L B4,2161,2023-01-02 10:38:00.000000 +00:00
L B8-1,3983,2023-01-02 10:39:00.000000 +00:00
L B9,3261,2023-01-02 10:40:00.000000 +00:00
IC 15,4932,2023-01-02 10:41:00.000000 +00:00
L B2-1,3683,2023-01-02 10:41:00.000000 +00:00
L C1,4583,2023-01-02 10:41:00.000000 +00:00
IC 05,4533,2023-01-02 10:42:00.000000 +00:00
L 26,4482,2023-01-02 10:42:00.000000 +00:00
L A2,2382,2023-01-02 10:43:00.000000 +00:00
IC 19-1,911,2023-01-02 10:43:00.000000 +00:00
IC 13,5111,2023-01-02 10:43:00.000000 +00:00
IC 07,2034,2023-01-02 10:46:00.000000 +00:00
IC 13,5133,2023-01-02 10:47:00.000000 +00:00
IC 12,434,2023-01-02 10:48:00.000000 +00:00
IC 28,3011,2023-01-02 10:51:00.000000 +00:00
L B2-1,3661,2023-01-02 10:51:00.000000 +00:00
IC 28,3034,2023-01-02 10:52:00.000000 +00:00
L 36,1661,2023-01-02 10:53:00.000000 +00:00
IC 07,2011,2023-01-02 10:53:00.000000 +00:00
L B20-2,6461,2023-01-02 10:55:00.000000 +00:00
L A4-2,2682,2023-01-02 10:56:00.000000 +00:00
IC 14,1734,2023-01-02 10:56:00.000000 +00:00
L 10-2,982,2023-01-02 10:56:00.000000 +00:00
L 03,2482,2023-01-02 10:56:00.000000 +00:00
L C2-1,4283,2023-01-02 10:57:00.000000 +00:00
IC 18,2412,2023-01-02 11:02:00.000000 +00:00
L 08,6282,2023-01-02 11:04:00.000000 +00:00
L 31,4062,2023-01-02 11:04:00.000000 +00:00
L 13-1,5882,2023-01-02 11:05:00.000000 +00:00
L 16,5782,2023-01-02 11:05:00.000000 +00:00
L 37-1,4411,2023-01-02 11:07:00.000000 +00:00
IC 12,433,2023-01-02 11:08:00.000000 +00:00
L C1,4562,2023-01-02 11:10:00.000000 +00:00
L G1,783,2023-01-02 11:11:00.000000 +00:00
L B9,3284,2023-01-02 11:12:00.000000 +00:00
L 03,2462,2023-01-02 11:13:00.000000 +00:00
IC 14,1712,2023-01-02 11:13:00.000000 +00:00
L 10-1,6182,2023-01-02 11:13:00.000000 +00:00
L 11,6084,2023-01-02 11:14:00.000000 +00:00
L G1,762,2023-01-02 11:14:00.000000 +00:00
L B5-2,3562,2023-01-02 11:14:00.000000 +00:00
IC 15,4912,2023-01-02 11:17:00.000000 +00:00
IC 12,412,2023-01-02 11:18:00.000000 +00:00
L A4-2,2662,2023-01-02 11:19:00.000000 +00:00
IC 18,2434,2023-01-02 11:20:00.000000 +00:00
L 13-1,5862,2023-01-02 11:21:00.000000 +00:00
L A3,2962,2023-01-02 11:24:00.000000 +00:00
IC 05,4512,2023-01-02 11:24:00.000000 +00:00
IC 26,3235,2023-01-02 11:24:00.000000 +00:00
L B20-2,6483,2023-01-02 11:25:00.000000 +00:00
L 36,1683,2023-01-02 11:27:00.000000 +00:00
L B8-1,3962,2023-01-02 11:28:00.000000 +00:00
L B5-2,3583,2023-01-02 11:34:00.000000 +00:00
L 31,4082,2023-01-02 11:34:00.000000 +00:00
L B7,3462,2023-01-02 11:34:00.000000 +00:00
L B7,3483,2023-01-02 11:35:00.000000 +00:00
L A3,2983,2023-01-02 11:35:00.000000 +00:00
L 15,5584,2023-01-02 11:35:00.000000 +00:00
L A2,2362,2023-01-02 11:36:00.000000 +00:00
L B4,2184,2023-01-02 11:37:00.000000 +00:00
IC 26,3212,2023-01-02 11:38:00.000000 +00:00
