avg_departure_delay_s,sum_departure_delay_s,avg_arrival_delay_s,sum_arrival_delay_s,arrival_count,departure_count,avg_time_saving_s,sum_time_saving_s,station
123.6453096175555494,4490674,105.6052537082562219,3823227,36203,36319,-18.10136667957727,-654292,400
181.2221656828821494,5342067,160.5591419746801073,4730554,29463,29478,-20.654163693813067,-607914,401
157.5196153339480964,5978657,159.9482744921471515,6039167,37757,37955,-24.241160286675045,-713684,402
83.3319198149575944,864652,42.9447074417723916,453582,10562,10376,-39.3251690016655237,-401392,404
99.478384124734231,982548,99.478384124734231,982548,9877,9877,0,0,405
131.4281870349523626,4786746,103.1221458046767538,3748490,36350,36421,-28.3532017942155811,-1030327,406
141.8410538818702084,1313590,115.6258356696139746,1072314,9274,9261,-25.6692657569850552,-237030,409
100.572479097411101,1996766,55.4051899248425757,1091039,19692,19854,-45.7540142276422764,-900439,410
202.3926241134751773,713434,93.0145257761321561,326574,3511,3525,-109.462546283110225,-384323,412
120.7282903996595856,3688370,101.0311312098571241,3083066,30516,30551,-20.2272444196794389,-617113,413
162.5433155353447615,6362433,138.2752505189779338,5395362,39019,39143,-24.6112207499295179,-960256,414
158.2206037108834118,11426692,142.4463293279558716,10277930,72153,72220,-15.8080896321255737,-1140032,415
174.0292534099066762,969691,117.2633189344852412,651515,5556,5572,-56.9855907780979827,-316384,418
159.8020232150962973,4928614,132.4679358066402443,4077628,30782,30842,-27.6111924039931064,-849127,421
131.5660795274760046,1247378,63.388441145281018,597753,9430,9481,-68.6833475298126065,-645074,422
108.37444279346211,72936,35.9910044977511244,24006,667,673,-72.7226386806596702,-48506,423
135.8853445433564128,4945683,116.0876980633802817,4220020,36352,36396,-19.889821644831003,-722637,424
159.5015684442368017,2389812,119.6512312633832976,1788068,14944,14983,-40.2959183673469388,-600248,427
108.8520483159711127,1703208,108.8921198951875759,1703835,15647,15647,0,0,428
193.1831090625232325,2598506,137.9577464788732394,1841460,13348,13451,-55.8274492167003973,-744794,432
96.8668984981352686,1922033,55.697249100764983,1099408,19739,19842,-42.7908321079052786,-843878,433
134.6797607356486028,1508548,98.1489989274222381,1098091,11188,11201,-36.5619552520442088,-406898,434
